K,Regret,ProcessTime,SpaceUsage
100,53.63148228976573,2306095421.0,18301600.0
120,64.50940011602893,2595805122.0,18687200.0
140,75.51122785262295,2875972251.0,19458400.0
160,86.08646540140288,3502564767.0,20229600.0
180,97.2816845573032,3736435626.0,20615200.0
200,109.41390063562217,4047723309.0,21386400.0
220,119.96177684587595,4473607491.0,21772000.0
240,132.05618852078246,4540343825.0,22157600.0
260,142.6247552919129,5142448529.0,22928800.0
280,154.3050097823096,5724694125.0,23314400.0
300,164.93587868879382,5483956228.0,23700000.0
320,176.4082942286062,6169842044.0,24085600.0
340,186.78214985785036,6331779303.0,24471200.0
360,197.54670713540685,7012448207.0,24856800.0
380,208.02177541645582,7129377665.0,25242400.0
400,219.8219199401681,7375191479.0,26013600.0
420,231.36387056609468,7557486747.0,26013600.0
440,241.647722543226,8145768440.0,26399200.0
460,252.4586648011674,8446721454.0,26784800.0
480,262.5253826789591,9105088311.0,27170400.0
500,273.60678109737165,9322750933.0,27556000.0
520,284.3179662237381,10078990833.0,27941600.0
540,296.6190762657621,9592415196.0,28327200.0
560,307.30353533043865,10467143318.0,28712800.0
580,317.74740999825593,10849439864.0,29098400.0
600,329.1785671216957,11080290757.0,29098400.0
620,339.35560673148717,11684913195.0,29484000.0
640,349.9727976197431,11869937366.0,29869600.0
660,361.7960703232631,12627851422.0,30255200.0
680,374.3630753085721,12207766584.0,30640800.0
700,385.69088462809134,12411578953.0,30640800.0
720,396.8662160270232,13048451677.0,31026400.0
740,410.98440604643764,13217123408.0,31412000.0
760,421.86232387270087,14153002291.0,31797600.0
780,432.796343726145,14476063607.0,31797600.0
800,444.2490981304764,14618662865.0,32183200.0
820,454.021610001751,15473237161.0,32568800.0
840,463.5329426022522,15761190638.0,32568800.0
860,473.69507239039683,15188170499.0,32954400.0
880,485.5776554226106,15943895278.0,33340000.0
900,496.9941669795152,16173286797.0,33725600.0
920,507.17440228824347,16422044000.0,33725600.0
940,517.8052711947275,17482349843.0,34111200.0
960,527.9687187306471,17451514590.0,34111200.0
980,540.8846669337022,17688123979.0,34496800.0
1000,551.9944484808063,19185252998.0,34882400.0
1020,562.801176860734,19319732049.0,34882400.0
1040,572.8939137993619,18605139762.0,35268000.0
1060,584.7821602353955,19398494334.0,35653600.0
1080,595.593102493337,19961290214.0,35653600.0
1100,605.8769544704685,20023488720.0,36039200.0
1120,616.81123494715,20223176252.0,36039200.0
1140,627.7345492051171,21237450250.0,36424800.0
1160,637.2589710605257,21689339434.0,36810400.0
1180,649.5600811025496,21811069546.0,36810400.0
1200,660.514173194158,22588400883.0,37196000.0
1220,670.9580478619754,23159058018.0,37196000.0
1240,681.7288763520338,22208494318.0,37581600.0
1260,693.3929431864137,22283795709.0,37581600.0
1280,704.7207525059331,23346398002.0,37967200.0
1300,717.8448905167353,23838697835.0,38352800.0
1320,728.4620814049915,23891559642.0,38352800.0
1340,736.4568162984859,24906674653.0,38738400.0
1360,750.6001194612785,24971939431.0,38738400.0
1380,762.0190188292211,25457392261.0,39124000.0
