K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3484328859.0,19630756.0
120,64.50940011602891,4019060973.0,20209156.0
140,75.51122785262295,4756697034.0,20980356.0
160,86.08646540140288,5468389772.0,21558756.0
180,100.67352749254383,5997425810.0,22137156.0
200,111.89889411257715,6618092662.0,22715556.0
220,122.03547928278375,7177527298.0,23293956.0
240,133.73545453876497,7863582676.0,23679556.0
260,142.3140664834526,8440082483.0,24257956.0
280,152.77027289308975,9137813338.0,24643556.0
300,164.24936318785657,9720091511.0,25221956.0
320,177.04429608685547,10299875661.0,25607556.0
340,189.60792556374744,10841381349.0,25993156.0
360,201.15699641018372,11517123089.0,26378756.0
380,211.3356187951257,12290319573.0,26764356.0
400,219.99387397305165,13012154192.0,27342756.0
420,230.5882958656979,13508527012.0,27535556.0
440,240.4873887453104,14124274383.0,27921156.0
460,252.84733552474495,14583581838.0,28306756.0
480,262.47652762603303,15290989507.0,28692356.0
500,272.5057328602701,15997785822.0,29077956.0
520,285.5598878705376,16489042392.0,29463556.0
540,296.5322451386747,17422181933.0,29656356.0
560,311.74517041515116,18211142354.0,30041956.0
580,323.06156628162466,18599856631.0,30427556.0
600,333.51671543243,19003884113.0,30620356.0
620,343.565292483507,19935750925.0,31005956.0
640,352.64955661738236,20706385406.0,31391556.0
660,361.87803934655983,21263897322.0,31584356.0
680,371.3136674046754,21736529123.0,31969956.0
700,378.535111573045,22730077147.0,32162756.0
720,389.3877853463459,23562987481.0,32548356.0
740,405.0281226694253,23841846930.0,32741156.0
760,416.92000915011135,24305159530.0,33126756.0
780,434.09512083868765,24865518197.0,33319556.0
800,447.99746142710336,26363032455.0,33705156.0
820,459.89097929787647,26142470286.0,33897956.0
840,470.2521804595868,26484948184.0,34090756.0
860,480.5344689671839,27684597800.0,34476356.0
880,486.6639881945381,28853354225.0,34669156.0
900,496.2037571943851,28742222226.0,35054756.0
920,505.20145663634946,29493545009.0,35247556.0
940,515.5338072615731,30362564856.0,35440356.0
960,531.6320808920569,31019208188.0,35633156.0
980,538.7877511693578,31414193927.0,36018756.0
1000,554.1836347313342,32444169084.0,36211556.0
1020,567.8887867673083,32616774236.0,36404356.0
1040,575.4141227157979,34024568031.0,36597156.0
1060,585.934027913016,34278918809.0,36982756.0
1080,593.581590749837,34341788343.0,37175556.0
1100,600.4882082359026,35590476617.0,37368356.0
1120,609.5054389882863,36317558448.0,37561156.0
1140,621.0204190234152,36875413823.0,37946756.0
1160,633.8106038209737,37895713562.0,38139556.0
1180,647.8906084629505,37854310184.0,38332356.0
1200,659.8154630582221,39066819158.0,38525156.0
1220,667.0642473176769,39392290781.0,38717956.0
1240,682.6093050318327,40365020348.0,38910756.0
1260,691.8352847064307,41081658441.0,39103556.0
1280,709.052817193238,41961921694.0,39489156.0
1300,723.3159866876323,42232127771.0,39681956.0
1320,731.2234434745096,43006478039.0,39874756.0
1340,739.2147402236116,43956555320.0,40067556.0
1360,745.723646778111,44858795591.0,40260356.0
1380,762.7520572808571,45329025531.0,40453156.0
1400,771.7315264407732,45098978491.0,40645956.0
1420,786.1000539586232,46622013183.0,40838756.0
1440,791.6238517291049,47316791688.0,41031556.0
1460,796.4881291556471,48295142785.0,41224356.0
1480,806.0151870052401,47931730084.0,41417156.0
1500,814.208007838652,48759168849.0,41609956.0
1520,831.2932775790733,50034512764.0,41802756.0
1540,842.0381553408365,48825214682.0,41995556.0
1560,853.959688360457,50701296015.0,42188356.0
1580,862.580631952169,51593769499.0,42381156.0
1600,865.5925752852364,53732625131.0,42766756.0
1620,878.4621114861811,54108900699.0,42766756.0
1640,887.484832380575,53168760203.0,42959556.0
1660,900.530573490958,53569870075.0,43152356.0
1680,919.4247817088667,54146808249.0,43345156.0
1700,926.6219731203985,55678244990.0,43537956.0
1720,938.4788384078842,57861199073.0,43730756.0
1740,951.6048212845568,58208674761.0,43923556.0
1760,963.619326774345,58641561607.0,44116356.0
1780,980.5786359950612,59318265903.0,44309156.0
1800,995.3769037278845,58025644594.0,44501956.0
1820,1003.0293592322022,60335189873.0,44694756.0
1840,1006.1193927895679,60567612157.0,44887556.0
1860,1016.5441976092895,60448778000.0,45080356.0
1880,1029.7131552810642,63354763700.0,45273156.0
1900,1042.6038871814544,64095272039.0,45465956.0
1920,1056.043284393853,64484035097.0,45658756.0
1940,1062.433049894243,65717115643.0,45851556.0
1960,1069.3317233130153,64506353890.0,46044356.0
1980,1081.935016855591,63996923940.0,46044356.0
2000,1098.391969679442,67969461856.0,46237156.0
2020,1112.9221888573454,67098095328.0,46429956.0
2040,1127.3890601116277,66717506959.0,46622756.0
2060,1139.6915769948107,68696041290.0,46815556.0
2080,1144.7766864804594,69877059558.0,47008356.0
2100,1154.370725871786,68979126444.0,47201156.0
2120,1170.8402025319197,72247934581.0,47393956.0
2140,1183.6828704819827,72412634874.0,47586756.0
2160,1195.667437028482,72055623034.0,47586756.0
2180,1210.0854872702923,72131729874.0,47779556.0
2200,1211.6518708552949,72451750143.0,47972356.0
2220,1216.1834508140826,74010178666.0,48165156.0
2240,1227.5377632776767,75622898935.0,48357956.0
2260,1242.9772347376895,75283003861.0,48550756.0
2280,1256.2046615015279,78593546515.0,48550756.0
2300,1271.410858052108,77749416930.0,48743556.0
2320,1285.375127871696,79472553367.0,48936356.0
2340,1291.822261727229,79780277563.0,49129156.0
2360,1295.992000882434,80031488864.0,49321956.0
2380,1309.135567590597,80327735156.0,49514756.0
2400,1318.8386085267264,82372222541.0,49514756.0
2420,1326.1777399118798,82299862720.0,49707556.0
2440,1342.257745475252,82465444870.0,49900356.0
2460,1352.0250376813005,83986139420.0,50093156.0
2480,1367.8686387930318,83862992559.0,50285956.0
2500,1380.5043501071316,82953391917.0,50478756.0
2520,1393.8372663178448,84399816925.0,50478756.0
2540,1403.9175023349883,86321000864.0,50671556.0
2560,1412.7618126520842,87111003528.0,50864356.0
2580,1422.9392685565822,87514651204.0,51057156.0
2600,1429.934380210357,88148872379.0,51057156.0
2620,1437.8278622575524,88052782724.0,51249956.0
2640,1445.3633806936364,89715843109.0,51442756.0
2660,1448.6042308572241,91583990754.0,51635556.0
2680,1460.8955783792576,93381626226.0,51828356.0
2700,1473.2289317697025,91139686948.0,51828356.0
2720,1487.920260720737,92043307758.0,52021156.0
2740,1507.6942634526788,92380757121.0,52213956.0
2760,1513.1708353258969,94901684657.0,52406756.0
2780,1515.3820846342649,93745215451.0,52406756.0
2800,1519.6058533776245,94508249608.0,52599556.0
2820,1529.775118317326,94807825378.0,52792356.0
2840,1548.0484093135617,96111840151.0,52985156.0
2860,1566.3247707740327,98117485636.0,52985156.0
2880,1588.4457525722335,99426226851.0,53177956.0
2900,1596.3952761331568,98237656632.0,53370756.0
2920,1606.8203417087996,100710974429.0,53563556.0
2940,1616.3361388456594,98176075109.0,53563556.0
2960,1622.1108773846179,104968491644.0,53756356.0
2980,1640.061695875875,104364686906.0,53949156.0
3000,1653.454203870388,104034665170.0,54141956.0
3020,1674.2051352762257,104628014055.0,54141956.0
3040,1685.5140017226508,107807987492.0,54334756.0
3060,1689.7463277730492,107720545366.0,54527556.0
3080,1707.3543115605737,104501860051.0,54527556.0
3100,1718.486369731358,105147167453.0,54720356.0
3120,1733.2552015192466,107224465462.0,54913156.0
3140,1741.7278256772754,106849172936.0,55105956.0
3160,1744.531642376031,110684951061.0,55105956.0
3180,1751.8937409364075,112515629251.0,55298756.0
3200,1755.974423224435,110585793553.0,55491556.0
3220,1771.7226565427702,111600360330.0,55491556.0
3240,1779.140155873269,112341368633.0,55684356.0
3260,1788.194261271193,110485889165.0,55877156.0
3280,1801.6619816302941,114584792214.0,56069956.0
3300,1807.0340928681117,112147859580.0,56069956.0
3320,1822.395606087925,114811255945.0,56262756.0
3340,1827.0584375846574,114000990980.0,56455556.0
3360,1843.3608636600331,115673463808.0,56455556.0
3380,1859.2555902669073,115395542742.0,56648356.0
3400,1869.6120510162548,121224727820.0,56841156.0
3420,1882.282900170863,121263731965.0,56841156.0
3440,1887.0871725803574,124644357377.0,57033956.0
3460,1893.6062469053531,122260089488.0,57226756.0
3480,1899.7137423202562,121954230740.0,57226756.0
3500,1912.2062562626886,123509737081.0,57419556.0
3520,1918.1036482837123,127659733438.0,57612356.0
3540,1928.6783667136026,125618578044.0,57612356.0
3560,1949.1042035779092,127099559413.0,57805156.0
3580,1959.0045661554839,126159474517.0,57997956.0
3600,1970.0556133292464,131455678309.0,58190756.0
3620,1986.6515448083342,129252247416.0,58190756.0
3640,1989.4590345042204,129607497504.0,58383556.0
3660,2001.5774326095868,130157754646.0,58383556.0
3680,2014.6927441651321,134677170217.0,58576356.0
3700,2017.9960493268677,132048988478.0,58769156.0
3720,2035.4073732262734,131310689056.0,58769156.0
3740,2044.8161677461837,133157371310.0,58961956.0
3760,2062.5470058468377,135199419687.0,59154756.0
3780,2068.70042120861,138143764606.0,59154756.0
3800,2077.0693979473504,136841430496.0,59347556.0
3820,2092.502055971147,135624081244.0,59540356.0
3840,2110.307452440105,133681396244.0,59540356.0
3860,2118.9894705903703,134931742720.0,59733156.0
3880,2133.244997143234,137538380059.0,59925956.0
3900,2139.5623133700383,136076970753.0,59925956.0
3920,2149.57975485552,139039965882.0,60118756.0
3940,2156.7305725137317,138351150838.0,60311556.0
3960,2178.351161396842,139466964936.0,60311556.0
3980,2189.7662409589057,139788311231.0,60504356.0
4000,2194.533208502184,139203747199.0,60504356.0
4020,2207.2675645029035,143999539725.0,60697156.0
4040,2205.788446222608,149415009081.0,60889956.0
4060,2220.431440111817,149234309977.0,60889956.0
4080,2225.909731855192,148500759767.0,61082756.0
4100,2244.6152463969984,154113859767.0,61275556.0
4120,2254.3812082665445,145307990998.0,61275556.0
4140,2267.771329931935,146659025667.0,61468356.0
4160,2288.764153778569,149805760615.0,61468356.0
4180,2290.9993652667886,156063253408.0,61661156.0
4200,2311.551892911579,148447539299.0,61853956.0
4220,2320.5321480685093,148130733985.0,61853956.0
4240,2325.9431604148403,148683551213.0,62046756.0
4260,2337.8586276693118,154990819490.0,62239556.0
4280,2338.0898863168127,157477380379.0,62239556.0
4300,2353.188671007449,155532831274.0,62432356.0
4320,2371.6722332033355,156649932418.0,62432356.0
4340,2375.414435435022,157737826925.0,62625156.0
4360,2401.2146189216264,159608425228.0,62817956.0
4380,2412.9617588766832,160051686099.0,62817956.0
4400,2422.0320161279046,155835682875.0,63010756.0
4420,2438.242828639097,158287563325.0,63010756.0
4440,2439.086703220479,161464030122.0,63203556.0
4460,2445.9199474559296,157767361948.0,63396356.0
4480,2447.6941559461716,157427505167.0,63396356.0
4500,2464.3248456089586,164544817568.0,63589156.0
4520,2479.101678665841,163677865578.0,63589156.0
4540,2490.4885379827065,161363186831.0,63781956.0
4560,2503.1722438285356,162703629189.0,63974756.0
4580,2509.8381730660185,168805277805.0,63974756.0
4600,2517.6262962660358,169500514437.0,64167556.0
4620,2531.6632441721517,164959109966.0,64167556.0
4640,2550.7735089556613,167472998223.0,64360356.0
4660,2564.17359821637,170890927068.0,64553156.0
4680,2585.5212894294755,169573385103.0,64553156.0
4700,2587.787787965819,171897458542.0,64745956.0
4720,2591.4944774539404,171490776628.0,64745956.0
4740,2614.8150521672924,173217347781.0,64938756.0
4760,2605.2746921093344,175700709471.0,64938756.0
4780,2633.280971329941,177549186063.0,65131556.0
4800,2648.4523624556005,169815172821.0,65324356.0
4820,2647.8396413248042,173044327450.0,65324356.0
4840,2661.8783237779776,182300896474.0,65517156.0
4860,2664.6888136562934,182882448191.0,65517156.0
4880,2678.220168575931,174967991826.0,65709956.0
4900,2689.122085464229,180412909573.0,65902756.0
4920,2716.5199229840696,181318631363.0,65902756.0
4940,2728.0995726292995,179926686041.0,66095556.0
4960,2743.1780859518994,177328220388.0,66095556.0
4980,2753.6027450065776,141288210024.0,66288356.0
5000,2757.412914841773,142198442655.0,66288356.0
