K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3351563379.0,16030756.0
120,64.50940011602891,3929246562.0,16609156.0
140,75.51122785262295,4508932328.0,17380356.0
160,86.08646540140288,5232497671.0,17958756.0
180,100.67352749254383,5826588064.0,18537156.0
200,111.89889411257715,6482264278.0,19115556.0
220,122.03547928278375,6920017602.0,19693956.0
240,133.73545453876497,7518232897.0,20079556.0
260,142.3140664834526,8202873069.0,20657956.0
280,152.77027289308975,8867898052.0,21043556.0
300,164.24936318785657,9337406570.0,21621956.0
320,177.04429608685547,9901859264.0,22007556.0
340,189.60792556374744,10646231169.0,22393156.0
360,201.15699641018372,11200441489.0,22778756.0
380,211.3356187951257,11819173963.0,23164356.0
400,219.99387397305165,12522564602.0,23742756.0
420,230.5882958656979,13145909614.0,23935556.0
440,240.4873887453104,13738407063.0,24321156.0
460,252.84733552474495,13951765911.0,24706756.0
480,262.47652762603303,14637036122.0,25092356.0
500,272.5057328602701,15559229454.0,25477956.0
520,285.5598878705376,16144988191.0,25863556.0
540,296.5322451386747,16570746691.0,26056356.0
560,311.74517041515116,17412011201.0,26441956.0
580,323.06156628162466,17966994718.0,26827556.0
600,333.51671543243,18648356844.0,27020356.0
620,343.565292483507,19112064652.0,27405956.0
640,352.64955661738236,19998817929.0,27791556.0
660,361.87803934655983,20727445977.0,27984356.0
680,371.3136674046754,21265315708.0,28369956.0
700,378.535111573045,21658306145.0,28562756.0
720,389.3877853463459,22347188351.0,28948356.0
740,405.0281226694253,22955917575.0,29141156.0
760,416.92000915011135,23614840807.0,29526756.0
780,434.09512083868765,23598861557.0,29719556.0
800,447.99746142710336,25000010803.0,30105156.0
820,459.89097929787647,25665230424.0,30297956.0
840,470.2521804595868,25930693583.0,30490756.0
860,480.5344689671839,26755366412.0,30876356.0
880,486.6639881945381,27114278697.0,31069156.0
900,496.2037571943851,28361822237.0,31454756.0
920,505.20145663634946,28915604512.0,31647556.0
940,515.5338072615731,29341078602.0,31840356.0
960,531.6320808920569,29736644168.0,32033156.0
980,538.7877511693578,30102503927.0,32418756.0
1000,554.1836347313342,31616172746.0,32611556.0
1020,567.8887867673083,31702985094.0,32804356.0
1040,575.4141227157979,32324138054.0,32997156.0
1060,585.934027913016,33466711906.0,33382756.0
1080,593.581590749837,33918910486.0,33575556.0
1100,600.4882082359026,34797766820.0,33768356.0
1120,609.5054389882863,34823866509.0,33961156.0
1140,621.0204190234152,35737937577.0,34346756.0
1160,633.8106038209737,37264855974.0,34539556.0
1180,647.8906084629505,37206381090.0,34732356.0
1200,659.8154630582221,37281753314.0,34925156.0
1220,667.0642473176769,38103247670.0,35117956.0
1240,682.6093050318327,39750252831.0,35310756.0
1260,691.8352847064307,39460872415.0,35503556.0
1280,709.052817193238,39775032770.0,35889156.0
1300,723.3159866876323,41036410397.0,36081956.0
