K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3499440696.0,26830756.0
120,64.50940011602891,4128861457.0,27409156.0
140,75.51122785262295,4807561263.0,28180356.0
160,86.08646540140288,5560762495.0,28758756.0
180,100.67352749254383,6057473688.0,29337156.0
200,111.89889411257715,6642354521.0,29915556.0
220,122.03547928278375,7337332677.0,30493956.0
240,133.73545453876497,7988520611.0,30879556.0
260,142.3140664834526,8579162481.0,31457956.0
280,152.77027289308975,9352869473.0,31843556.0
300,164.24936318785657,9856814077.0,32421956.0
320,177.04429608685547,10400399968.0,32807556.0
340,189.60792556374744,11051912140.0,33193156.0
360,201.15699641018372,11737786713.0,33578756.0
380,211.3356187951257,12495837502.0,33964356.0
400,219.99387397305165,13230455091.0,34542756.0
420,230.5882958656979,13582686937.0,34735556.0
440,240.4873887453104,14152861101.0,35121156.0
460,252.84733552474495,15094218036.0,35506756.0
480,262.47652762603303,15785452220.0,35892356.0
500,272.5057328602701,16188077175.0,36277956.0
520,285.5598878705376,16807591455.0,36663556.0
540,296.5322451386747,17558704063.0,36856356.0
560,311.74517041515116,18742208342.0,37241956.0
580,323.06156628162466,19133485054.0,37627556.0
600,333.51671543243,19623116423.0,37820356.0
620,343.565292483507,20352396016.0,38205956.0
640,352.64955661738236,21461225632.0,38591556.0
660,361.87803934655983,21956139145.0,38784356.0
680,371.3136674046754,22178313432.0,39169956.0
700,378.535111573045,22448782929.0,39362756.0
720,389.3877853463459,23847901480.0,39748356.0
740,405.0281226694253,24716825426.0,39941156.0
760,416.92000915011135,25001123934.0,40326756.0
780,434.09512083868765,24794840980.0,40519556.0
800,447.99746142710336,26105901194.0,40905156.0
820,459.89097929787647,26837284582.0,41097956.0
840,470.2521804595868,26826483449.0,41290756.0
860,480.5344689671839,27765061305.0,41676356.0
880,486.6639881945381,28896407942.0,41869156.0
900,496.2037571943851,29306496084.0,42254756.0
920,505.20145663634946,30073054131.0,42447556.0
940,515.5338072615731,30286252030.0,42640356.0
960,531.6320808920569,31409954606.0,42833156.0
980,538.7877511693578,32286976057.0,43218756.0
1000,554.1836347313342,32880127042.0,43411556.0
1020,567.8887867673083,33395105631.0,43604356.0
