K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3501631092.0,12430756.0
120,64.50940011602891,4035478814.0,13009156.0
140,75.51122785262295,4585246581.0,13780356.0
160,86.08646540140288,5330746090.0,14358756.0
180,100.67352749254383,5952489211.0,14937156.0
200,111.89889411257715,6513282819.0,15515556.0
220,122.03547928278375,7089597631.0,16093956.0
240,133.73545453876497,7688968725.0,16479556.0
260,142.3140664834526,8385747871.0,17057956.0
280,152.77027289308975,9008557879.0,17443556.0
300,164.24936318785657,9628383662.0,18021956.0
320,177.04429608685547,10083799366.0,18407556.0
340,189.60792556374744,10886848431.0,18793156.0
360,201.15699641018372,11381019194.0,19178756.0
380,211.3356187951257,12030570551.0,19564356.0
400,219.99387397305165,12701343253.0,20142756.0
420,230.5882958656979,13429254471.0,20335556.0
440,240.4873887453104,13911541926.0,20721156.0
460,252.84733552474495,14458013805.0,21106756.0
480,262.47652762603303,15058618959.0,21492356.0
500,272.5057328602701,16026099654.0,21877956.0
520,285.5598878705376,16558526557.0,22263556.0
540,296.5322451386747,17026918210.0,22456356.0
560,311.74517041515116,17910763603.0,22841956.0
580,323.06156628162466,18617016639.0,23227556.0
600,333.51671543243,19009421004.0,23420356.0
620,343.565292483507,19440645966.0,23805956.0
640,352.64955661738236,20283164578.0,24191556.0
660,361.87803934655983,21374746522.0,24384356.0
680,371.3136674046754,21797222176.0,24769956.0
700,378.535111573045,22227732578.0,24962756.0
720,389.3877853463459,22782741436.0,25348356.0
740,405.0281226694253,23741866442.0,25541156.0
760,416.92000915011135,24259193456.0,25926756.0
780,434.09512083868765,24332040351.0,26119556.0
800,447.99746142710336,25250197859.0,26505156.0
820,459.89097929787647,26215818513.0,26697956.0
840,470.2521804595868,26394595286.0,26890756.0
860,480.5344689671839,27185292453.0,27276356.0
880,486.6639881945381,27889507289.0,27469156.0
900,496.2037571943851,28691484350.0,27854756.0
920,505.20145663634946,29188020821.0,28047556.0
940,515.5338072615731,29945155022.0,28240356.0
960,531.6320808920569,30055225992.0,28433156.0
980,538.7877511693578,31519848732.0,28818756.0
1000,554.1836347313342,32094173831.0,29011556.0
1020,567.8887867673083,32117654315.0,29204356.0
1040,575.4141227157979,32795204187.0,29397156.0
1060,585.934027913016,34305218125.0,29782756.0
1080,593.581590749837,34347298590.0,29975556.0
1100,600.4882082359026,35106420586.0,30168356.0
1120,609.5054389882863,35520845603.0,30361156.0
1140,621.0204190234152,36477612031.0,30746756.0
1160,633.8106038209737,37247083687.0,30939556.0
