K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3544728209.0,12430756.0
120,64.50940011602891,3971574799.0,13009156.0
140,75.51122785262295,4818351859.0,13780356.0
160,86.08646540140288,5365827061.0,14358756.0
180,100.67352749254383,5978431520.0,14937156.0
200,111.89889411257715,6459041321.0,15515556.0
220,122.03547928278375,7373009986.0,16093956.0
240,133.73545453876497,7752219387.0,16479556.0
260,142.3140664834526,8453635633.0,17057956.0
280,152.77027289308975,8962813552.0,17443556.0
300,164.24936318785657,9940979948.0,18021956.0
320,177.04429608685547,10173721108.0,18407556.0
340,189.60792556374744,10876798615.0,18793156.0
360,201.15699641018372,11249802299.0,19178756.0
380,211.3356187951257,12433911732.0,19564356.0
400,219.99387397305165,12889000588.0,20142756.0
420,230.5882958656979,13456813347.0,20335556.0
440,240.4873887453104,13772493719.0,20721156.0
460,252.84733552474495,14967851632.0,21106756.0
480,262.47652762603303,15144309569.0,21492356.0
500,272.5057328602701,16020839520.0,21877956.0
520,285.5598878705376,16275872107.0,22263556.0
540,296.5322451386747,17604363781.0,22456356.0
560,311.74517041515116,18050686152.0,22841956.0
580,323.06156628162466,18677384863.0,23227556.0
600,333.51671543243,18780988644.0,23420356.0
620,343.565292483507,20224552951.0,23805956.0
640,352.64955661738236,20543944346.0,24191556.0
660,361.87803934655983,21306308217.0,24384356.0
680,371.3136674046754,21550281767.0,24769956.0
700,378.535111573045,22850367268.0,24962756.0
720,389.3877853463459,23019860204.0,25348356.0
740,405.0281226694253,23810294699.0,25541156.0
760,416.92000915011135,23926214186.0,25926756.0
780,434.09512083868765,24883795041.0,26119556.0
800,447.99746142710336,25356446683.0,26505156.0
820,459.89097929787647,26126955603.0,26697956.0
840,470.2521804595868,25952027367.0,26890756.0
860,480.5344689671839,27883234839.0,27276356.0
880,486.6639881945381,28083622189.0,27469156.0
900,496.2037571943851,28649276759.0,27854756.0
920,505.20145663634946,28822083122.0,28047556.0
940,515.5338072615731,30574275228.0,28240356.0
960,531.6320808920569,30192852114.0,28433156.0
980,538.7877511693578,31304337777.0,28818756.0
1000,554.1836347313342,31605467873.0,29011556.0
1020,567.8887867673083,32671312005.0,29204356.0
1040,575.4141227157979,33070707883.0,29397156.0
1060,585.934027913016,34073156367.0,29782756.0
1080,593.581590749837,33677389303.0,29975556.0
