K,Regret,ProcessTime,SpaceUsage
100,53.63148228976573,2684652107.0,20229600.0
120,64.50940011602893,3483241010.0,21000800.0
140,75.51122785262295,3499325724.0,22157600.0
160,86.08646540140288,4224356802.0,22928800.0
180,97.2816845573032,4237708284.0,23700000.0
200,109.41390063562217,4966830784.0,24471200.0
220,119.96177684587595,5478662251.0,25242400.0
240,132.05618852078246,5848682089.0,26013600.0
260,142.6247552919129,6580525626.0,26784800.0
280,154.3050097823096,7336654254.0,27556000.0
300,164.93587868879382,7351088323.0,28327200.0
320,176.4082942286062,8344681076.0,28712800.0
340,186.78214985785036,9066960341.0,29484000.0
360,197.54670713540685,9258722242.0,29869600.0
380,208.02177541645582,9297729596.0,30640800.0
400,219.8219199401681,10109519987.0,31026400.0
420,231.36387056609468,11022568782.0,31797600.0
440,241.647722543226,11241815141.0,32183200.0
460,252.4586648011674,11400182577.0,32954400.0
480,262.5253826789591,12168513543.0,33340000.0
500,273.60678109737165,13207667385.0,34111200.0
520,284.3179662237381,13509915662.0,34496800.0
540,296.6190762657621,15029619629.0,34882400.0
560,307.30353533043865,14067982096.0,35268000.0
580,317.74740999825593,15074399486.0,36039200.0
600,329.1785671216957,16351429247.0,36424800.0
620,339.35560673148717,16585408694.0,36810400.0
640,349.9727976197431,17708975104.0,37196000.0
660,361.7960703232631,17636105034.0,37967200.0
680,374.3630753085721,17901123600.0,38352800.0
700,385.69088462809134,19054947556.0,38738400.0
720,396.8662160270232,19431649614.0,39124000.0
740,409.5477072601858,20692139264.0,39509600.0
760,422.5669844719034,19521048141.0,39895200.0
780,433.56881220849743,20724469651.0,40280800.0
800,443.67876081427494,22394008174.0,41052000.0
820,454.8739799701751,22663559604.0,41437600.0
840,463.7177884827665,24034919067.0,41823200.0
860,475.0297792123567,22307673438.0,42208800.0
880,484.80390147929245,24167571335.0,42594400.0
900,496.05253404027934,24255770453.0,42980000.0
920,507.73278853067603,25826212550.0,43365600.0
940,518.0964444095715,26134370940.0,43751200.0
960,527.9687187306471,28253768127.0,44136800.0
980,540.8846669337022,26473325599.0,44522400.0
1000,551.9944484808063,27565224336.0,44908000.0
1020,562.801176860734,27630634429.0,45293600.0
1040,572.8939137993619,29681211787.0,45679200.0
1060,583.0143237207202,30252142662.0,46064800.0
1080,594.6454162955598,31601067473.0,46450400.0
1100,605.4563585535013,29640088298.0,46836000.0
1120,616.81123494715,31575303574.0,47221600.0
1140,627.7345492051171,31816143307.0,47607200.0
1160,638.9159478750744,32319034287.0,47607200.0
1180,648.6867387434683,34033576840.0,47992800.0
1200,660.514173194158,34473712588.0,48378400.0
1220,670.8917411882064,36096744031.0,48764000.0
1240,683.1310612580935,34341219865.0,49149600.0
1260,693.3081008678845,35780982102.0,49535200.0
1280,706.0216178132157,35651048355.0,49920800.0
1300,717.8448905167353,38352075746.0,50306400.0
1320,726.4366422720982,38585524636.0,50692000.0
1340,739.4346126671619,39218018293.0,50692000.0
1360,747.632147697418,40604936242.0,51077600.0
1380,762.7888761275866,38602442917.0,51463200.0
1400,772.0079464430062,40414039897.0,51848800.0
1420,783.1147693916125,41224474623.0,52234400.0
1440,794.1362481534675,42718743942.0,52620000.0
1460,804.6883592123858,43302027891.0,53005600.0
1480,818.1566263309693,43214471135.0,53005600.0
1500,827.3491807167435,45950148011.0,53391200.0
1520,839.3248897595984,42924110010.0,53776800.0
1540,848.8153592459529,45567246350.0,54162400.0
1560,859.987890531497,46293875829.0,54548000.0
1580,871.6792878237712,46619763221.0,54548000.0
1600,881.7796302964053,48994377558.0,54933600.0
1620,892.151820840386,48458932048.0,55319200.0
1640,902.4331963059999,50760759269.0,55704800.0
1660,914.0773067488208,46665802919.0,56090400.0
1680,926.238152059722,48043980950.0,56090400.0
1700,935.8335164332267,50479985449.0,56476000.0
1720,945.2913677184223,51462801007.0,56861600.0
1740,954.6807353533982,53447244579.0,57247200.0
1760,965.3510786418565,53072801184.0,57247200.0
1780,977.0148722284944,53611526479.0,57632800.0
1800,987.6004590589018,55958753456.0,58018400.0
1820,998.4474567945316,53441922936.0,58404000.0
1840,1009.127986914407,53305753447.0,58404000.0
1860,1019.8787526528523,55289423777.0,58789600.0
1880,1034.4697692803084,55514618496.0,59175200.0
1900,1046.5509406997294,59929755480.0,59560800.0
