K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3457111719.0,16030756.0
120,64.50940011602891,3996797149.0,16609156.0
140,75.51122785262295,4617028770.0,17380356.0
160,86.08646540140288,5331717704.0,17958756.0
180,100.67352749254383,5888708062.0,18537156.0
200,111.89889411257715,6514394122.0,19115556.0
220,122.03547928278375,7062632948.0,19693956.0
240,133.73545453876497,7677719533.0,20079556.0
260,142.3140664834526,8314031724.0,20657956.0
280,152.77027289308975,9129368556.0,21043556.0
300,164.24936318785657,9438071042.0,21621956.0
320,177.04429608685547,10015715963.0,22007556.0
340,189.60792556374744,10693185443.0,22393156.0
360,201.15699641018372,11404839099.0,22778756.0
380,211.3356187951257,12138836771.0,23164356.0
400,219.99387397305165,12745869733.0,23742756.0
420,230.5882958656979,13269257750.0,23935556.0
440,240.4873887453104,14069445347.0,24321156.0
460,252.84733552474495,14432100347.0,24706756.0
480,262.47652762603303,14951361777.0,25092356.0
500,272.5057328602701,15937588783.0,25477956.0
520,285.5598878705376,16490911159.0,25863556.0
540,296.5322451386747,17177780200.0,26056356.0
560,311.74517041515116,17775398950.0,26441956.0
580,323.06156628162466,18109635120.0,26827556.0
600,333.51671543243,18793552716.0,27020356.0
620,343.565292483507,19519625008.0,27405956.0
640,352.64955661738236,20594489397.0,27791556.0
660,361.87803934655983,21366021444.0,27984356.0
680,371.3136674046754,21506543863.0,28369956.0
700,378.535111573045,21899977175.0,28562756.0
720,389.3877853463459,22667911698.0,28948356.0
740,405.0281226694253,23378875132.0,29141156.0
760,416.92000915011135,24241094050.0,29526756.0
780,434.09512083868765,24138087984.0,29719556.0
800,447.99746142710336,25124030424.0,30105156.0
820,459.89097929787647,26245664003.0,30297956.0
840,470.2521804595868,26702544945.0,30490756.0
860,480.5344689671839,27124933721.0,30876356.0
880,486.6639881945381,28049962119.0,31069156.0
900,496.2037571943851,28488074110.0,31454756.0
920,505.20145663634946,29320438871.0,31647556.0
940,515.5338072615731,29481637631.0,31840356.0
960,531.6320808920569,30291668282.0,32033156.0
980,538.7877511693578,31317020558.0,32418756.0
1000,554.1836347313342,32304082312.0,32611556.0
1020,567.8887867673083,32110854401.0,32804356.0
1040,575.4141227157979,32383944893.0,32997156.0
1060,585.934027913016,34165392304.0,33382756.0
1080,593.581590749837,34612941468.0,33575556.0
1100,600.4882082359026,34442720349.0,33768356.0
1120,609.5054389882863,35903131428.0,33961156.0
1140,621.0204190234152,36531208794.0,34346756.0
1160,633.8106038209737,36810376830.0,34539556.0
1180,647.8906084629505,37234023505.0,34732356.0
1200,659.8154630582221,38318683740.0,34925156.0
1220,667.0642473176769,38498446414.0,35117956.0
1240,682.6093050318327,39197975535.0,35310756.0
1260,691.8352847064307,40386928711.0,35503556.0
1280,709.052817193238,41028216630.0,35889156.0
1300,723.3159866876323,42814321403.0,36081956.0
1320,731.2234434745096,42621028353.0,36274756.0
1340,739.2147402236116,42179850434.0,36467556.0
1360,745.723646778111,42892183682.0,36660356.0
1380,762.7520572808571,44737363870.0,36853156.0
1400,771.7315264407732,46117593393.0,37045956.0
1420,786.1000539586232,44620358104.0,37238756.0
1440,791.6238517291049,46023827947.0,37431556.0
1460,796.4881291556471,47744629716.0,37624356.0
1480,806.0151870052401,46504348917.0,37817156.0
1500,814.208007838652,49078648473.0,38009956.0
1520,831.2932775790733,48723361668.0,38202756.0
1540,842.0381553408365,49705608175.0,38395556.0
1560,853.959688360457,51456279745.0,38588356.0
1580,862.580631952169,49917357674.0,38781156.0
1600,865.5925752852364,51192075903.0,39166756.0
1620,878.4621114861811,52047099104.0,39166756.0
1640,887.484832380575,53069728129.0,39359556.0
1660,900.530573490958,54599696140.0,39552356.0
1680,919.4247817088667,52926013320.0,39745156.0
1700,926.6219731203985,54964158359.0,39937956.0
1720,938.4788384078842,54961938371.0,40130756.0
1740,951.6048212845568,57367381647.0,40323556.0
1760,963.619326774345,57123344693.0,40516356.0
1780,980.5786359950612,57678897111.0,40709156.0
1800,995.3769037278845,59416405058.0,40901956.0
1820,1003.0293592322022,59872013479.0,41094756.0
1840,1006.1193927895679,59237976773.0,41287556.0
1860,1016.5441976092895,60529336860.0,41480356.0
1880,1029.7131552810642,62293607542.0,41673156.0
1900,1042.6038871814544,62656097648.0,41865956.0
1920,1056.043284393853,61722919848.0,42058756.0
1940,1062.433049894243,65096105754.0,42251556.0
1960,1069.3317233130153,66384539766.0,42444356.0
1980,1081.935016855591,62577170717.0,42444356.0
2000,1098.391969679442,66353496596.0,42637156.0
2020,1112.9221888573454,65619814636.0,42829956.0
2040,1127.3890601116277,68339130160.0,43022756.0
2060,1139.6915769948107,68512920108.0,43215556.0
2080,1144.7766864804594,68580210688.0,43408356.0
2100,1154.370725871786,69539684150.0,43601156.0
2120,1170.8402025319197,68354360249.0,43793956.0
2140,1183.6828704819827,72337521157.0,43986756.0
2160,1195.667437028482,71957742593.0,43986756.0
2180,1210.0854872702923,70631512633.0,44179556.0
2200,1211.6518708552949,73088613169.0,44372356.0
2220,1216.1834508140826,73914027057.0,44565156.0
2240,1227.5377632776767,75281380880.0,44757956.0
2260,1242.9772347376895,76183968745.0,44950756.0
2280,1256.2046615015279,78580079358.0,44950756.0
2300,1271.410858052108,75313108559.0,45143556.0
2320,1285.375127871696,74725874467.0,45336356.0
2340,1291.822261727229,77306977885.0,45529156.0
2360,1295.992000882434,79391036897.0,45721956.0
2380,1309.135567590597,78230339975.0,45914756.0
2400,1318.8386085267264,80829640951.0,45914756.0
2420,1326.1777399118798,80747851079.0,46107556.0
2440,1342.257745475252,83181639144.0,46300356.0
2460,1352.0250376813005,84316787045.0,46493156.0
2480,1367.8686387930318,81306122019.0,46685956.0
2500,1380.5043501071316,81857649532.0,46878756.0
2520,1393.8372663178448,86108095982.0,46878756.0
2540,1403.9175023349883,86067489161.0,47071556.0
2560,1412.7618126520842,84446733973.0,47264356.0
2580,1422.9392685565822,85204290525.0,47457156.0
2600,1429.934380210357,87146325714.0,47457156.0
2620,1437.8278622575524,86229093171.0,47649956.0
2640,1445.3633806936364,88855431201.0,47842756.0
2660,1448.6042308572241,90148999101.0,48035556.0
2680,1460.8955783792576,92142477672.0,48228356.0
2700,1473.2289317697025,86706887459.0,48228356.0
2720,1487.920260720737,91565609976.0,48421156.0
2740,1507.6942634526788,91462615275.0,48613956.0
2760,1513.1708353258969,95113082759.0,48806756.0
2780,1515.3820846342649,96065144692.0,48806756.0
2800,1519.6058533776245,91307228276.0,48999556.0
2820,1529.775118317326,94241054126.0,49192356.0
2840,1548.0484093135617,98113884852.0,49385156.0
2860,1566.3247707740327,99394935349.0,49385156.0
2880,1588.4457525722335,95654311212.0,49577956.0
2900,1596.3952761331568,95779254031.0,49770756.0
2920,1606.8203417087996,98186678838.0,49963556.0
2940,1616.3361388456594,100098788949.0,49963556.0
2960,1622.1108773846179,101894774462.0,50156356.0
2980,1640.061695875875,100423517508.0,50349156.0
3000,1653.454203870388,100881879855.0,50541956.0
3020,1674.2051352762257,102648308569.0,50541956.0
3040,1685.5140017226508,104812557562.0,50734756.0
3060,1689.7463277730492,101643386658.0,50927556.0
3080,1707.3543115605737,107567445532.0,50927556.0
3100,1718.486369731358,109171874641.0,51120356.0
