K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3484336513.0,12430756.0
120,64.50940011602891,4039639980.0,13009156.0
140,75.51122785262295,4600021330.0,13780356.0
160,86.08646540140288,5325868694.0,14358756.0
180,100.67352749254383,5915687929.0,14937156.0
200,111.89889411257715,6533136776.0,15515556.0
220,122.03547928278375,7079443717.0,16093956.0
240,133.73545453876497,7729062042.0,16479556.0
260,142.3140664834526,8391903940.0,17057956.0
280,152.77027289308975,9036728606.0,17443556.0
300,164.24936318785657,9622200990.0,18021956.0
320,177.04429608685547,10121258877.0,18407556.0
340,189.60792556374744,10907775594.0,18793156.0
360,201.15699641018372,11470121344.0,19178756.0
380,211.3356187951257,12015906368.0,19564356.0
400,219.99387397305165,12797811392.0,20142756.0
420,230.5882958656979,13359427782.0,20335556.0
440,240.4873887453104,13918154002.0,20721156.0
460,252.84733552474495,14525098485.0,21106756.0
480,262.47652762603303,15166843407.0,21492356.0
500,272.5057328602701,15936074747.0,21877956.0
520,285.5598878705376,16530951546.0,22263556.0
540,296.5322451386747,17007069430.0,22456356.0
560,311.74517041515116,17962415991.0,22841956.0
580,323.06156628162466,18559018828.0,23227556.0
600,333.51671543243,19055059263.0,23420356.0
620,343.565292483507,19554413845.0,23805956.0
640,352.64955661738236,20412460321.0,24191556.0
660,361.87803934655983,21166385269.0,24384356.0
680,371.3136674046754,21786395990.0,24769956.0
700,378.535111573045,22134282200.0,24962756.0
720,389.3877853463459,22833404466.0,25348356.0
740,405.0281226694253,23561702323.0,25541156.0
760,416.92000915011135,24543394359.0,25926756.0
780,434.09512083868765,24295516419.0,26119556.0
800,447.99746142710336,25338199522.0,26505156.0
820,459.89097929787647,26608702656.0,26697956.0
840,470.2521804595868,26256739214.0,26890756.0
860,480.5344689671839,27042078743.0,27276356.0
880,486.6639881945381,28046767518.0,27469156.0
900,496.2037571943851,28655983398.0,27854756.0
920,505.20145663634946,29176577929.0,28047556.0
940,515.5338072615731,29855441362.0,28240356.0
960,531.6320808920569,30178072901.0,28433156.0
980,538.7877511693578,31342037019.0,28818756.0
1000,554.1836347313342,32022837484.0,29011556.0
1020,567.8887867673083,32054507576.0,29204356.0
1040,575.4141227157979,33067827099.0,29397156.0
1060,585.934027913016,34199482210.0,29782756.0
1080,593.581590749837,34342560911.0,29975556.0
1100,600.4882082359026,35123044105.0,30168356.0
1120,609.5054389882863,35799824914.0,30361156.0
1140,621.0204190234152,36523216184.0,30746756.0
1160,633.8106038209737,37343960843.0,30939556.0
1180,647.8906084629505,37719548489.0,31132356.0
1200,659.8154630582221,38691365313.0,31325156.0
1220,667.0642473176769,39079752330.0,31517956.0
1240,682.6093050318327,39964491725.0,31710756.0
1260,691.8352847064307,40341872445.0,31903556.0
1280,709.052817193238,40736364321.0,32289156.0
1300,723.3159866876323,41972902743.0,32481956.0
1320,731.2234434745096,42716317649.0,32674756.0
1340,739.2147402236116,43228221737.0,32867556.0
1360,745.723646778111,43460901108.0,33060356.0
1380,762.7520572808571,44447196264.0,33253156.0
1400,771.7315264407732,45167493124.0,33445956.0
1420,786.1000539586232,45891345534.0,33638756.0
1440,791.6238517291049,46056063757.0,33831556.0
1460,796.4881291556471,47149192149.0,34024356.0
1480,806.0151870052401,47797948052.0,34217156.0
1500,814.208007838652,48557411750.0,34409956.0
1520,831.2932775790733,48824985375.0,34602756.0
1540,842.0381553408365,50035754476.0,34795556.0
1560,853.959688360457,50755291308.0,34988356.0
1580,862.580631952169,51538238041.0,35181156.0
1600,865.5925752852364,52078326130.0,35566756.0
1620,878.4621114861811,52587822068.0,35566756.0
1640,887.484832380575,53254882272.0,35759556.0
1660,900.530573490958,54225001623.0,35952356.0
1680,919.4247817088667,54379365130.0,36145156.0
1700,926.6219731203985,55199072047.0,36337956.0
1720,938.4788384078842,55957514605.0,36530756.0
1740,951.6048212845568,56995390326.0,36723556.0
1760,963.619326774345,56733051403.0,36916356.0
1780,980.5786359950612,57802180529.0,37109156.0
1800,995.3769037278845,58698288362.0,37301956.0
1820,1003.0293592322022,59636235126.0,37494756.0
1840,1006.1193927895679,59671390485.0,37687556.0
1860,1016.5441976092895,60654231633.0,37880356.0
1880,1029.7131552810642,61506240078.0,38073156.0
1900,1042.6038871814544,62484026372.0,38265956.0
1920,1056.043284393853,62436484765.0,38458756.0
1940,1062.433049894243,63411462243.0,38651556.0
1960,1069.3317233130153,64113202091.0,38844356.0
1980,1081.935016855591,64802095756.0,38844356.0
2000,1098.391969679442,65934862918.0,39037156.0
2020,1112.9221888573454,65716595234.0,39229956.0
2040,1127.3890601116277,66733233531.0,39422756.0
2060,1139.6915769948107,67654566123.0,39615556.0
2080,1144.7766864804594,68833583993.0,39808356.0
2100,1154.370725871786,68311723491.0,40001156.0
2120,1170.8402025319197,69609776282.0,40193956.0
2140,1183.6828704819827,70612112778.0,40386756.0
2160,1195.667437028482,71244647405.0,40386756.0
2180,1210.0854872702923,71967664829.0,40579556.0
2200,1211.6518708552949,71863228764.0,40772356.0
2220,1216.1834508140826,73190658796.0,40965156.0
2240,1227.5377632776767,74451117920.0,41157956.0
2260,1242.9772347376895,75722913379.0,41350756.0
2280,1256.2046615015279,76167413730.0,41350756.0
